delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
186	0.360390275790895	2	101	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.513206750013735	BP
85	0.360849745467114	2	508	GO:0061061	muscle structure development	0.513223085492082	BP
181	0.36085998198662	2	107	GO:0045471	response to ethanol	0.513223085492082	BP
123	0.361838198500902	7	233	GO:0055065	metal ion homeostasis	0.514111251251554	BP
-338	0.362056000620062	3	30	GO:0061035	regulation of cartilage development	0.514111251251554	BP
271	0.362173015390604	4	47	GO:0030865	cortical cytoskeleton organization	0.514111251251554	BP
-327	0.362787538567315	7	32	GO:0034968	histone lysine methylation	0.514248369125137	BP
222	0.362811009009555	2	70	GO:0071236	cellular response to antibiotic	0.514248369125137	BP
100	0.363085765482293	2	356	GO:0048568	embryonic organ development	0.514248369125137	BP
216	0.363187910694628	3	74	GO:0006006	glucose metabolic process	0.514248369125137	BP
224	0.364558233893739	2	68	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	0.515862567228032	BP
132	0.365055923570198	2	198	GO:0045787	positive regulation of cell cycle	0.51624069999826006	BP
78	0.366697729021798	5	601	GO:0009150	purine ribonucleotide metabolic process	0.518235276346263	BP
138	0.36724500398027	2	179	GO:0008544	epidermis development	0.518681468421062	BP
-158	0.367636546421735	2	136	GO:0051705	multi-organism behavior	0.518907286694824	BP
-305	0.368367216279073	3	36	GO:0007474	imaginal disc-derived wing vein specification	0.519611186690884	BP
-304	0.369376807663519	4	36	GO:0018022	peptidyl-lysine methylation	0.520707394063111	BP
96	0.369762671021005	4	382	GO:0007507	heart development	0.520923511375504	BP
84	0.370051069924589	5	503	GO:0042278	purine nucleoside metabolic process	0.521002134903256	BP
-196	0.37080775942518	7	87	GO:0016072	rRNA metabolic process	0.521739561000253	BP
281	0.371374542248114	3	42	GO:0046928	regulation of neurotransmitter secretion	0.522209023625722	BP
173	0.371637473791232	5	111	GO:0007435	salivary gland morphogenesis	0.522250904198469	BP
257	0.372567662566511	-1	50	GO:0042993	obsolete positive regulation of transcription factor import into nucleus	0.522952996802944	BP
-236	0.372604010222098	2	59	GO:0006406	mRNA export from nucleus	0.522952996802944	BP
153	0.372993871268215	3	143	GO:0050769	positive regulation of neurogenesis	0.523172367965436	BP
189	0.373317809621723	6	93	GO:0051168	nuclear export	0.523299057292027	BP
246	0.373765383675766	3	54	GO:0010594	regulation of endothelial cell migration	0.523598786387565	BP
-202	0.374985853028087	4	80	GO:0032355	response to estradiol	0.524952433606828	BP
-258	0.37520037776988	2	49	GO:0030537	larval behavior	0.524952433606828	BP
-281	0.37568796141429	2	41	GO:0022898	regulation of transmembrane transporter activity	0.525306512838957	BP
96	0.376147263433189	3	372	GO:0010171	body morphogenesis	0.52562063012498	BP
166	0.377407375844718	2	119	GO:0050867	positive regulation of cell activation	0.527052694446489	BP
-107	0.378029671143473	5	293	GO:0006397	mRNA processing	0.527592812063165	BP
-93	0.380981812490433	2	382	GO:0070925	organelle assembly	0.531130389692583	BP
263	0.381038632248206	2	46	GO:0022602	ovulation cycle process	0.531130389692583	BP
108	0.383262850639911	2	279	GO:0001944	vasculature development	0.533898498403856	BP
-291	0.383761969943837	5	37	GO:0021522	spinal cord motor neuron differentiation	0.534261536777001	BP
-312	0.3853188795233	2	32	GO:0021575	hindbrain morphogenesis	0.536095832380243	BP
-306	0.386868666199603	3	33	GO:0019229	regulation of vasoconstriction	0.537917946795227	BP
-99	0.387461346526633	2	327	GO:1901615	organic hydroxy compound metabolic process	0.538121375409075	BP
182	0.387524199110295	2	94	GO:0051236	establishment of RNA localization	0.538121375409075	BP
-301	0.387847992528804	2	34	GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	0.538121375409075	BP
212	0.387975902359668	2	69	GO:0006970	response to osmotic stress	0.538121375409075	BP
109	0.388755386614343	2	266	GO:0001505	regulation of neurotransmitter levels	0.538868852732753	BP
145	0.390068597242367	2	148	GO:0030534	adult behavior	0.540354766742673	BP
-180	0.39043509793017	3	95	GO:0007618	mating	0.540528194909506	BP
170	0.390990015273464	4	107	GO:0045666	positive regulation of neuron differentiation	0.540962096487066	BP
-98	0.391413872297646	6	331	GO:0009161	ribonucleoside monophosphate metabolic process	0.541214243176992	BP
262	0.393882016745751	2	44	GO:0010172	embryonic body morphogenesis	0.544291004016337	BP
305	0.396217183904108	2	32	GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	0.547180327956351	BP
-266	0.396838050676573	2	42	GO:0060113	inner ear receptor cell differentiation	0.547700082264648	BP
-90	0.397399468573063	2	388	GO:0030001	metal ion transport	0.547959585960144	BP
295	0.397515324636265	3	34	GO:1905207	regulation of cardiocyte differentiation	0.547959585960144	BP
-309	0.397811005605421	3	31	GO:0007589	body fluid secretion	0.548029921621244	BP
-156	0.398964073232803	2	122	GO:0097190	apoptotic signaling pathway	0.54877586387152	BP
82	0.398988759630434	2	462	GO:0001654	eye development	0.54877586387152	BP
-303	0.399190356879637	4	32	GO:0010332	response to gamma radiation	0.54877586387152	BP
157	0.399332436656508	2	120	GO:0035050	embryonic heart tube development	0.54877586387152	BP
-190	0.399806648124621	2	82	GO:0003143	embryonic heart tube morphogenesis	0.54909067553596	BP
-67	0.40057683102515	2	716	GO:0061458	reproductive system development	0.549811336701186	BP
-239	0.401047424198349	2	51	GO:0006638;GO:0006639	neutral lipid metabolic process	0.55010589183366	BP
175	0.401282601453661	2	96	GO:0045861	negative regulation of proteolysis	0.55010589183366	BP
-306	0.402133739580817	2	31	GO:0055008	cardiac muscle tissue morphogenesis	0.550935520893596	BP
235	0.405095347362713	8	52	GO:0006919;GO:0097202	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.554653776340145	BP
71	0.405628475605454	3	623	GO:0031327	negative regulation of cellular biosynthetic process	0.555007994468753	BP
-258	0.40606796790796	3	43	GO:0021766	hippocampus development	0.555007994468753	BP
129	0.406097367381378	2	174	GO:0006836	neurotransmitter transport	0.555007994468753	BP
103	0.407494392371282	5	278	GO:1902850	microtubule cytoskeleton organization involved in mitosis	0.556489838384337	BP
177	0.40767849320924	2	91	GO:0001503	ossification	0.556489838384337	BP
302	0.408745913201248	2	31	GO:0007257	activation of JUN kinase activity	0.557607092308645	BP
306	0.409451251651133	2	30	GO:0030512;GO:1903845	negative regulation of transforming growth factor beta receptor signaling pathway	0.558229338830516	BP
145	0.411919816567339	2	135	GO:0042063	gliogenesis	0.561253278047956	BP
163	0.412481315819073	2	105	GO:0035690	cellular response to drug	0.561676685370653	BP
-304	0.412736941816342	4	30	GO:0009247	glycolipid biosynthetic process	0.561683323006444	BP
215	0.41349231121068	3	60	GO:0007349	cellularization	0.562369627876092	BP
277	0.414168198708914	5	36	GO:0014075	response to amine	0.562947066206291	BP
-153	0.414892548993095	2	119	GO:0021537	telencephalon development	0.563589635988195	BP
112	0.416254713035024	3	223	GO:0009798	axis specification	0.565097307393002	BP
-178	0.416857764796831	3	87	GO:0006475	internal protein amino acid acetylation	0.565573224194368	BP
-248	0.418954192230986	2	44	GO:0051928	positive regulation of calcium ion transport	0.568073480991168	BP
112	0.421018730754525	2	218	GO:0007596	blood coagulation	0.570527499631056	BP
194	0.422718552391485	2	71	GO:0070663	regulation of leukocyte proliferation	0.572484617507211	BP
-73	0.423249521113189	5	530	GO:0006812	cation transport	0.572857357881295	BP
193	0.424285397232407	7	71	GO:0043280;GO:2001056	positive regulation of cysteine-type endopeptidase activity	0.573692412411428	BP
176	0.424406139358505	2	86	GO:1903522	regulation of blood circulation	0.573692412411428	BP
-221	0.424646092831866	4	54	GO:0034440	lipid oxidation	0.573692412411428	BP
-87	0.425070411508368	2	367	GO:0033993	response to lipid	0.573692412411428	BP
-282	0.425147055626326	3	33	GO:0035019	somatic stem cell population maintenance	0.573692412411428	BP
155	0.426317112406576	2	110	GO:0031647	regulation of protein stability	0.574924943883642	BP
213	0.430401657377734	3	57	GO:0043542	endothelial cell migration	0.580084062891771	BP
-224	0.431104988615375	2	51	GO:0097746	regulation of blood vessel diameter	0.580682606433217	BP
274	0.431583817121288	4	34	GO:1903429	regulation of cell maturation	0.58097821535558	BP
72	0.432290617606563	2	535	GO:0051253	negative regulation of RNA metabolic process	0.581580170233454	BP
208	0.433059834313167	3	59	GO:0031638	zymogen activation	0.582265323446275	BP
230	0.433641699001082	2	48	GO:0033333	fin development	0.582697903876679	BP
-87	0.434909811184748	2	347	GO:0009991	response to extracellular stimulus	0.584051544996304	BP
-91	0.435595815565871	3	313	GO:0007283	spermatogenesis	0.584428085018153	BP
-207	0.435712009812641	3	59	GO:0007530	sex determination	0.584428085018153	BP
-271	0.436963657145982	3	34	GO:0090183	regulation of kidney development	0.585641293860221	BP
-91	0.437139394345665	2	315	GO:0048232	male gamete generation	0.585641293860221	BP
91	0.437427220949886	3	312	GO:0009952	anterior/posterior pattern specification	0.585676613824115	BP
175	0.438151177176413	2	82	GO:0010830	regulation of myotube differentiation	0.58629548200428	BP
-205	0.439059427070083	5	59	GO:1902904	negative regulation of supramolecular fiber organization	0.587160069634021	BP
-188	0.440057720130067	8	70	GO:0006364	rRNA processing	0.588143969624911	BP
-213	0.442799965519055	2	54	GO:0030217	T cell differentiation	0.591456125678404	BP
-227	0.444973487279735	5	47	GO:0046496;GO:0019362	nicotinamide nucleotide metabolic process	0.594005132006321	BP
-157	0.445649928064884	2	98	GO:0051216	cartilage development	0.594553805161013	BP
-233	0.446899055734149	5	44	GO:0001656	metanephros development	0.595865407645532	BP
173	0.447352654918141	2	80	GO:0008543	fibroblast growth factor receptor signaling pathway	0.596115375976583	BP
178	0.448655190898443	3	75	GO:0031033;GO:0031034	myosin filament organization	0.5974956168921	BP
-151	0.449223620425029	2	105	GO:0046331	lateral inhibition	0.597897153744542	BP
-277	0.455980865029017	5	30	GO:0002260	lymphocyte homeostasis	0.606530366784441	BP
-231	0.457222289553924	2	43	GO:0006368	transcription elongation from RNA polymerase II promoter	0.607820729139935	BP
-267	0.457556445796118	2	32	GO:0044264	cellular polysaccharide metabolic process	0.607904174723193	BP
141	0.458340915803407	2	116	GO:0002696	positive regulation of leukocyte activation	0.608585448369669	BP
-139	0.459661504147107	2	118	GO:0043687	post-translational protein modification	0.609977351474834	BP
-186	0.460692594016908	2	65	GO:0035296	regulation of tube diameter	0.610288846258012	BP
-92	0.461072148776964	3	272	GO:0060249	anatomical structure homeostasis	0.610288846258012	BP
121	0.461343442854971	2	155	GO:0016358	dendrite development	0.610288846258012	BP
-229	0.461386402891326	3	43	GO:0071805	potassium ion transmembrane transport	0.610288846258012	BP
199	0.46169954053444	4	57	GO:1903034	regulation of response to wounding	0.610288846258012	BP
-158	0.461802168945146	2	90	GO:0006473	protein acetylation	0.610288846258012	BP
260	0.46203467926766	3	33	GO:0048854	brain morphogenesis	0.610288846258012	BP
176	0.462075840738209	3	73	GO:1905330	regulation of morphogenesis of an epithelium	0.610288846258012	BP
187	0.462826184846944	2	64	GO:0007179	transforming growth factor beta receptor signaling pathway	0.610808525672452	BP
-167	0.463014677049921	4	80	GO:0009152	purine ribonucleotide biosynthetic process	0.610808525672452	BP
127	0.464972488600573	3	139	GO:2000027	regulation of animal organ morphogenesis	0.612945468099301	BP
147	0.465361815462241	2	103	GO:0008344	adult locomotory behavior	0.612945468099301	BP
-195	0.465455464837907	2	58	GO:0016051	carbohydrate biosynthetic process	0.612945468099301	BP
-72	0.466161974408827	2	451	GO:0014070	response to organic cyclic compound	0.613515171959913	BP
68	0.467245448494397	6	509	GO:0009119	ribonucleoside metabolic process	0.614580037949177	BP
90	0.4688393619369	4	277	GO:0051129	negative regulation of cellular component organization	0.616314654189352	BP
183	0.469740628347111	3	65	GO:0034614	cellular response to reactive oxygen species	0.616882005802284	BP
256	0.469821741919061	3	33	GO:0035188	hatching	0.616882005802284	BP
180	0.47018482961488	2	67	GO:0050900	leukocyte migration	0.616997081627025	BP
195	0.470685424405352	3	57	GO:0046467	membrane lipid biosynthetic process	0.61717561095832	BP
-101	0.47087192818204	4	215	GO:0048863	stem cell differentiation	0.61717561095832	BP
100	0.471709122888713	2	222	GO:0035114	imaginal disc-derived appendage morphogenesis	0.617758373274248	BP
234	0.471868114585821	4	39	GO:0007602	phototransduction	0.617758373274248	BP
176	0.472573432218441	2	69	GO:0009306	protein secretion	0.61803205875343	BP
99	0.47267950606413	2	224	GO:0048737	imaginal disc-derived appendage development	0.61803205875343	BP
-181	0.473030898475376	3	65	GO:0003205	cardiac chamber development	0.61803205875343	BP
101	0.473180794983095	2	216	GO:0009880	embryonic pattern specification	0.61803205875343	BP
-210	0.473992170074559	4	48	GO:0043112	receptor metabolic process	0.618731037859564	BP
-210	0.47447729428401	3	48	GO:0030218	erythrocyte differentiation	0.618894965047812	BP
103	0.474670334800063	2	204	GO:0030031	cell projection assembly	0.618894965047812	BP
246	0.475002819185783	3	35	GO:0051607	defense response to virus	0.61896818788607	BP
182	0.47594307171852	2	64	GO:0001703	gastrulation with mouth forming first	0.61983283758691	BP
256	0.476222675952263	2	32	GO:0009225	nucleotide-sugar metabolic process	0.619836603215031	BP
180	0.476714264906696	5	65	GO:0008582;GO:1904396	regulation of neuromuscular junction development	0.6201161169518	BP
-225	0.479405449451597	3	41	GO:0055025	positive regulation of cardiac muscle tissue development	0.623254908166905	BP
-157	0.481955519718596	2	83	GO:0061371	determination of heart left/right asymmetry	0.62620670775502	BP
-238	0.482273560789207	5	36	GO:0014032	neural crest cell development	0.626256681836419	BP
-212	0.484534386789716	3	45	GO:0042246	tissue regeneration	0.628827941140767	BP
-207	0.485572561157041	5	47	GO:0009163;GO:1901659	glycosyl compound biosynthetic process	0.629810386214112	BP
-147	0.48662273531877	3	93	GO:0035150	regulation of tube size	0.630546027837858	BP
-176	0.486702715237347	2	65	GO:0048284	organelle fusion	0.630546027837858	BP
153	0.488476872829418	4	85	GO:0030098	lymphocyte differentiation	0.632478725513235	BP
-159	0.488778073729594	2	79	GO:0040039	inductive cell migration	0.632503111007678	BP
121	0.489276890361757	3	138	GO:0051147	regulation of muscle cell differentiation	0.632783045271556	BP
195	0.490262930041479	2	52	GO:0002040	sprouting angiogenesis	0.632976405362701	BP
-209	0.490266012426078	2	45	GO:0040019	positive regulation of embryonic development	0.632976405362701	BP
77	0.490274135403699	2	352	GO:0048569	post-embryonic animal organ development	0.632976405362701	BP
-82	0.492991728237381	2	299	GO:0010876	lipid localization	0.636118359015975	BP
-254	0.493941641586156	4	30	GO:0008407	chaeta morphogenesis	0.636627053580335	BP
-232	0.493954383536885	3	36	GO:0060135	maternal process involved in female pregnancy	0.636627053580335	BP
-151	0.495664142746256	2	85	GO:0040020	regulation of meiotic nuclear division	0.638101792529047	BP
94	0.495879821230057	2	225	GO:0055123	digestive system development	0.638101792529047	BP
164	0.495953223568335	4	72	GO:0017156	calcium ion regulated exocytosis	0.638101792529047	BP
75	0.497646329014155	2	357	GO:0033365	protein localization to organelle	0.639694077426262	BP
206	0.49776195399731	3	45	GO:0010923	negative regulation of phosphatase activity	0.639694077426262	BP
217	0.499730586657527	2	40	GO:0060795	cell fate commitment involved in formation of primary germ layer	0.641556829239551	BP
-56	0.499784226349561	3	663	GO:0044282	small molecule catabolic process	0.641556829239551	BP
190	0.500461025381554	2	52	GO:0002759	regulation of antimicrobial humoral response	0.642057672883552	BP
127	0.501132162968958	2	117	GO:0042440	pigment metabolic process	0.642550684058652	BP
-199	0.501694831570526	2	47	GO:0046552	photoreceptor cell fate commitment	0.64290413198969	BP
58	0.502815583565972	2	608	GO:0009259	ribonucleotide metabolic process	0.643971930924973	BP
240	0.503788434491093	2	32	GO:0030431	sleep	0.644849196148599	BP
-77	0.504232616788072	6	326	GO:0009126;GO:0009167	purine nucleoside monophosphate metabolic process	0.644890197844654	BP
188	0.50439626188564	2	52	GO:0060033	anatomical structure regression	0.644890197844654	BP
-103	0.504804482793932	5	177	GO:0034762	regulation of transmembrane transport	0.645043948350489	BP
117	0.50652069186695	3	135	GO:0007498	mesoderm development	0.646867930320392	BP
-180	0.508686025768604	2	56	GO:0090598	male anatomical structure morphogenesis	0.648922004834056	BP
131	0.509042758449451	3	106	GO:0071214;GO:0104004	cellular response to abiotic stimulus	0.648922004834056	BP
141	0.509176387652753	4	91	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	0.648922004834056	BP
194	0.509287894865299	3	48	GO:0003206	cardiac chamber morphogenesis	0.648922004834056	BP
-179	0.510894479433949	2	56	GO:0050806	positive regulation of synaptic transmission	0.650297645914886	BP
-164	0.510948150361696	2	67	GO:0043200	response to amino acid	0.650297645914886	BP
166	0.511627253127152	2	65	GO:0042475	odontogenesis of dentin-containing tooth	0.65079219023556	BP
171	0.512485980259974	2	61	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	0.651514526550705	BP
-87	0.513159074510208	2	239	GO:0048514	blood vessel morphogenesis	0.652000185424201	BP
176	0.514108518249305	2	57	GO:0040001	establishment of mitotic spindle localization	0.652522755437923	BP
124	0.514152974708899	2	115	GO:0030010	establishment of cell polarity	0.652522755437923	BP
159	0.514824565648564	3	70	GO:0002790	peptide secretion	0.653005111581418	BP
98	0.516878039756761	2	186	GO:0051962	positive regulation of nervous system development	0.655238714802006	BP
-62	0.517904614868917	4	474	GO:0000226	microtubule cytoskeleton organization	0.656084186132953	BP
165	0.518130770209462	3	64	GO:0030177	positive regulation of Wnt signaling pathway	0.656084186132953	BP
-181	0.522126336415182	6	52	GO:0031110	regulation of microtubule polymerization or depolymerization	0.660770052864411	BP
-72	0.523099100888653	2	342	GO:0031667	response to nutrient levels	0.661627321282091	BP
85	0.525993343740695	2	238	GO:0046677	response to antibiotic	0.664912578995009	BP
-128	0.528657789801668	4	101	GO:0035270	endocrine system development	0.667903806630421	BP
105	0.529980253842461	3	150	GO:0070588	calcium ion transmembrane transport	0.668905512154655	BP
213	0.530047894676122	2	36	GO:0046662	regulation of oviposition	0.668905512154655	BP
-107	0.531143577021482	3	144	GO:0048634	regulation of muscle organ development	0.669910817864932	BP
-175	0.531943104275324	2	53	GO:0001895	retina homeostasis	0.670293494846922	BP
-109	0.532278034045454	2	138	GO:0044782	cilium organization	0.670293494846922	BP
175	0.532344699702087	3	53	GO:0008277	regulation of G protein-coupled receptor signaling pathway	0.670293494846922	BP
143	0.533192645750333	2	79	GO:0006879	cellular iron ion homeostasis	0.670984003640868	BP
-220	0.533805307343621	2	33	GO:0001578	microtubule bundle formation	0.671377814963341	BP
104	0.534699809596044	3	149	GO:0048580	regulation of post-embryonic development	0.671889822695162	BP
179	0.534812300832801	5	50	GO:0055007	cardiac muscle cell differentiation	0.671889822695162	BP
-230	0.53519241893847	2	30	GO:0008293	torso signaling pathway	0.671990481178348	BP
110	0.536774600413665	3	133	GO:0045995	regulation of embryonic development	0.673599498558325	BP
-187	0.537110318587219	2	45	GO:0031290	retinal ganglion cell axon guidance	0.673643400691697	BP
91	0.538505604227914	2	194	GO:0070838;GO:0072511	divalent metal ion transport	0.675015418841929	BP
53	0.539057092547765	2	607	GO:0010558	negative regulation of macromolecule biosynthetic process	0.675328796032994	BP
-160	0.539707501829585	2	61	GO:0007442;GO:0061525	hindgut morphogenesis	0.67576568144118	BP
180	0.540231084168976	2	48	GO:0051588	regulation of neurotransmitter transport	0.675939229819467	BP
190	0.540449625270833	4	43	GO:0045619	regulation of lymphocyte differentiation	0.675939229819467	BP
102	0.54078875101508594	2	151	GO:0016049	cell growth	0.675985938768857	BP
155	0.544995417337633	2	63	GO:0048645	animal organ formation	0.680697679612094	BP
192	0.545165909475043	5	41	GO:0045580	regulation of T cell differentiation	0.680697679612094	BP
-199	0.546660384095781	3	38	GO:0048709	oligodendrocyte differentiation	0.682183431963537	BP
83	0.547127455894209	2	221	GO:0050817	coagulation	0.682186010614408	BP
-191	0.547271545122362	2	41	GO:0050673	epithelial cell proliferation	0.682186010614408	BP
-48	0.547900644303733	2	702	GO:0055085	transmembrane transport	0.68259034662979	BP
70	0.550872143439751	3	309	GO:0035107	appendage morphogenesis	0.685910840080624	BP
-71	0.552255555365633	2	300	GO:0010927	cellular component assembly involved in morphogenesis	0.687251357788343	BP
-120	0.552784822475851	2	102	GO:0006936	muscle contraction	0.687528041280348	BP
169	0.553768765090207	2	51	GO:0035305	negative regulation of dephosphorylation	0.688224707683101	BP
-163	0.553959441050282	4	55	GO:0050880	regulation of blood vessel size	0.688224707683101	BP
202	0.557116896153045	2	35	GO:0061097	regulation of protein tyrosine kinase activity	0.69109276717428	BP
-137	0.557169778016992	2	76	GO:0032507	maintenance of protein location in cell	0.69109276717428	BP
157	0.55732445014765	2	58	GO:0008589	regulation of smoothened signaling pathway	0.69109276717428	BP
-98	0.55752946277569	2	151	GO:0043583	ear development	0.69109276717428	BP
70	0.558023535118233	2	298	GO:0048639	positive regulation of developmental growth	0.69109276717428	BP
-116	0.558119114204586	2	106	GO:0007286	spermatid development	0.69109276717428	BP
-144	0.558512421572682	2	69	GO:0007638	mechanosensory behavior	0.691197692996026	BP
-151	0.559033314673526	2	62	GO:0046148	pigment biosynthetic process	0.691460311909828	BP
75	0.560256223420767	4	260	GO:0055001	muscle cell development	0.692305949114743	BP
-103	0.560335127564745	3	134	GO:0060271	cilium assembly	0.692305949114743	BP
102	0.561317406797445	4	137	GO:0043902	positive regulation of multi-organism process	0.693137260874463	BP
182	0.562583541404733	2	42	GO:0000132	establishment of mitotic spindle orientation	0.694317979474712	BP
-215	0.562915939605132	4	30	GO:0050931	pigment cell differentiation	0.694345652376374	BP
69	0.565777406632857	2	300	GO:0050801	ion homeostasis	0.697491134208916	BP
209	0.566818618961243	3	31	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	0.698390377598011	BP
-128	0.567380519002933	2	83	GO:0048704	embryonic skeletal system morphogenesis	0.698698385138301	BP
-84	0.568788424948583	2	196	GO:0001101	response to acid chemical	0.70004729224441	BP
-201	0.569559000234069	3	33	GO:0006369	termination of RNA polymerase II transcription	0.700610741638833	BP
139	0.571051849488027	5	69	GO:0050670;GO:0032944	regulation of mononuclear cell proliferation	0.7012215541657	BP
-174	0.571139902664251	4	44	GO:0042659	regulation of cell fate specification	0.7012215541657	BP
-68	0.571261952382593	5	300	GO:0009125	nucleoside monophosphate catabolic process	0.7012215541657	BP
98	0.571307739443037	2	141	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	0.7012215541657	BP
79	0.572012082966883	2	219	GO:0035120	post-embryonic appendage morphogenesis	0.701701569466494	BP
138	0.572552553000811	5	69	GO:0008584	male gonad development	0.70198014161019	BP
148	0.572971595780303	2	60	GO:0046165	alcohol biosynthetic process	0.702109614085273	BP
82	0.573640175705781	2	198	GO:0031644	regulation of neurological system process	0.702544556359185	BP
-133	0.579482935300528	2	72	GO:0021675	nerve development	0.7089111324999	BP
47	0.579689750520789	4	615	GO:0019693	ribose phosphate metabolic process	0.7089111324999	BP
-82	0.57978803336599	2	194	GO:0051169	nuclear transport	0.7089111324999	BP
-182	0.582096032479845	2	38	GO:0007569	cell aging	0.710422131499024	BP
118	0.582214720390417	2	91	GO:0046620	regulation of organ growth	0.710422131499024	BP
117	0.58252291856486	4	92	GO:0050658;GO:0050657	RNA transport	0.710422131499024	BP
-184	0.582546754389054	2	37	GO:0050434	positive regulation of viral transcription	0.710422131499024	BP
-137	0.582609578376655	2	67	GO:0060179	male mating behavior	0.710422131499024	BP
-173	0.586005570413675	3	41	GO:0009060	aerobic respiration	0.71417436220165	BP
145	0.586766446347036	2	58	GO:0002262	myeloid cell homeostasis	0.714712800335705	BP
-172	0.587706557153163	4	41	GO:0051100	negative regulation of binding	0.715468852186459	BP
63	0.589589212708202	4	311	GO:0048707	instar larval or pupal morphogenesis	0.717370905196291	BP
158	0.590682736808322	2	48	GO:0002784;GO:0002805	regulation of antimicrobial peptide production	0.718311254316309	BP
66	0.592120070522454	3	281	GO:0045137	development of primary sexual characteristics	0.719668452506944	BP
146	0.592458865987679	5	56	GO:0040025	vulval development	0.719689728748591	BP
-154	0.593450217826817	2	50	GO:0040002	collagen and cuticulin-based cuticle development	0.720351724450156	BP
114	0.593647001488834	4	91	GO:0044344;GO:0071774	cellular response to fibroblast growth factor stimulus	0.720351724450156	BP
-99	0.594550655985346	2	121	GO:0021953	central nervous system neuron differentiation	0.721057644508487	BP
-188	0.595164540712686	3	33	GO:0060325	face morphogenesis	0.721411564500225	BP
128	0.595971506928182	2	71	GO:0031016	pancreas development	0.721561697337184	BP
-100	0.596115127800295	2	117	GO:0031047	gene silencing by RNA	0.721561697337184	BP
92	0.596350300971596	3	140	GO:0006403	RNA localization	0.721561697337184	BP
-105	0.596576903334136	3	106	GO:0032886	regulation of microtubule-based process	0.721561697337184	BP
187	0.597192508697293	4	33	GO:0007427	epithelial cell migration, open tracheal system	0.721572717169248	BP
128	0.59776654972113	2	71	GO:0050821	protein stabilization	0.721572717169248	BP
-174	0.597978183963769	3	38	GO:0030706	germarium-derived oocyte differentiation	0.721572717169248	BP
193	0.598041988517139	7	31	GO:0030004	cellular monovalent inorganic cation homeostasis	0.721572717169248	BP
-43	0.598196667760399	3	690	GO:0007548	sex differentiation	0.721572717169248	BP
60	0.598764789115842	3	333	GO:0007552	metamorphosis	0.721742300736849	BP
-178	0.598981668334733	4	36	GO:0007294;GO:0030716	oocyte fate determination	0.721742300736849	BP
-108	0.599466987623267	2	98	GO:0019318	hexose metabolic process	0.721938737782859	BP
175	0.600229567061104	4	37	GO:0001541	ovarian follicle development	0.722468688993484	BP
-58	0.601783857279473	2	348	GO:0048589	developmental growth	0.723950504997862	BP
183	0.605035364462251	4	33	GO:0042052	rhabdomere development	0.72747139903137	BP
109	0.605654052805848	2	93	GO:0001756	somitogenesis	0.727824612813895	BP
-99	0.60645757587259	4	114	GO:0035194;GO:0016441	posttranscriptional gene silencing by RNA	0.728194380587813	BP
162	0.606611925971812	4	42	GO:0055067	monovalent inorganic cation homeostasis	0.728194380587813	BP
42	0.607582047581946	2	666	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.728623273951363	BP
-182	0.607619765955869	2	33	GO:0030262	apoptotic nuclear changes	0.728623273951363	BP
-159	0.608081900670355	3	43	GO:0021517	ventral spinal cord development	0.728709698998329	BP
-64	0.608342471931641	5	272	GO:0007051	spindle organization	0.728709698998329	BP
138	0.610113235826145	4	57	GO:0016079	synaptic vesicle exocytosis	0.730126073278254	BP
71	0.610176789811112	4	222	GO:0007599	hemostasis	0.730126073278254	BP
58	0.612717225929339	6	323	GO:0006366	transcription by RNA polymerase II	0.732448464190471	BP
143	0.612771616916492	2	52	GO:0001570	vasculogenesis	0.732448464190471	BP
122	0.615842546388472	2	70	GO:0071478	cellular response to radiation	0.735726562085428	BP
72	0.617424343503297	2	204	GO:0045930	negative regulation of mitotic cell cycle	0.736978594318461	BP
-74	0.617861647580679	2	190	GO:0042391	regulation of membrane potential	0.736978594318461	BP
-147	0.617877589343781	2	48	GO:0045494	photoreceptor cell maintenance	0.736978594318461	BP
-103	0.618722978709814	6	97	GO:0042462	eye photoreceptor cell development	0.737594184305473	BP
-88	0.619350261553422	5	134	GO:0071396	cellular response to lipid	0.737949247808333	BP
156	0.620222303055331	8	42	GO:0006119	oxidative phosphorylation	0.738595406083967	BP
-85	0.621448063206624	2	143	GO:0016202;GO:1901861	regulation of striated muscle tissue development	0.739543708904451	BP
-159	0.621678930297804	2	40	GO:0033059	cellular pigmentation	0.739543708904451	BP
-98	0.622457953175078	2	106	GO:0019748	secondary metabolic process	0.740077396556356	BP
-124	0.622828540757981	5	65	GO:0050680	negative regulation of epithelial cell proliferation	0.740125162492243	BP
41	0.624196395535111	3	641	GO:0072521	purine-containing compound metabolic process	0.741357330858244	BP
